,radiant_win,duration,start_time,tower_status_radiant,tower_status_dire,barracks_status_radiant,barracks_status_dire,cluster,first_blood_time,lobby_type,human_players,game_mode,radiant_score,dire_score
1,1,1985.0,1644362482.0,1846.0,388.0,63.0,51.0,181.0,173.0,7.0,10.0,22.0,52.0,18.0
3,0,2651.0,1644361726.0,262.0,1844.0,51.0,63.0,171.0,5.0,0.0,10.0,22.0,40.0,44.0
5,0,538.0,1644363957.0,455.0,1982.0,51.0,63.0,145.0,0.0,0.0,10.0,22.0,8.0,12.0
7,1,3192.0,1644361174.0,1958.0,0.0,63.0,0.0,273.0,0.0,7.0,10.0,22.0,74.0,57.0
9,0,2182.0,1644362300.0,0.0,2039.0,0.0,63.0,154.0,0.0,7.0,10.0,22.0,22.0,60.0
11,1,2451.0,1644362001.0,1975.0,256.0,63.0,48.0,251.0,11.0,7.0,10.0,22.0,44.0,28.0
13,0,2257.0,1644362217.0,0.0,1959.0,0.0,63.0,121.0,0.0,7.0,10.0,22.0,30.0,55.0
15,0,2433.0,1644362028.0,4.0,1974.0,3.0,63.0,251.0,204.0,7.0,10.0,22.0,32.0,65.0
17,0,3017.0,1644361444.0,262.0,1956.0,51.0,63.0,193.0,17.0,7.0,10.0,22.0,52.0,49.0
19,1,1660.0,1644362809.0,2047.0,260.0,63.0,51.0,191.0,19.0,7.0,10.0,22.0,39.0,14.0
21,1,2648.0,1644361674.0,1959.0,4.0,63.0,3.0,201.0,4.0,7.0,10.0,22.0,45.0,31.0
23,1,2476.0,1644362000.0,1847.0,4.0,63.0,3.0,191.0,67.0,7.0,10.0,22.0,45.0,30.0
25,0,2274.0,1644362196.0,455.0,1796.0,51.0,59.0,241.0,50.0,7.0,10.0,22.0,35.0,34.0
27,0,2255.0,1644362254.0,0.0,2038.0,0.0,63.0,273.0,4.0,7.0,10.0,22.0,31.0,38.0
29,0,2323.0,1644362130.0,0.0,1959.0,0.0,63.0,122.0,263.0,7.0,10.0,22.0,35.0,63.0
31,1,1319.0,1644363046.0,2047.0,32.0,63.0,12.0,251.0,0.0,7.0,10.0,22.0,49.0,8.0
33,0,2178.0,1644362306.0,0.0,1830.0,0.0,63.0,251.0,103.0,7.0,10.0,22.0,39.0,34.0
35,0,4049.0,1644360423.0,262.0,1568.0,55.0,13.0,188.0,112.0,7.0,10.0,22.0,48.0,71.0
37,1,2024.0,1644362255.0,1983.0,260.0,63.0,51.0,273.0,166.0,7.0,10.0,22.0,47.0,19.0
39,1,2173.0,1644362300.0,1972.0,6.0,63.0,3.0,227.0,113.0,7.0,10.0,22.0,36.0,25.0
41,0,2031.0,1644362321.0,260.0,2046.0,51.0,63.0,251.0,144.0,7.0,10.0,22.0,27.0,36.0
43,1,2361.0,1644362093.0,1840.0,384.0,63.0,48.0,273.0,229.0,7.0,10.0,22.0,48.0,26.0
45,1,2707.0,1644361773.0,1830.0,262.0,63.0,51.0,188.0,67.0,0.0,10.0,22.0,57.0,48.0
47,0,2545.0,1644361799.0,7.0,2036.0,3.0,63.0,274.0,55.0,7.0,10.0,22.0,34.0,58.0
49,0,2010.0,1644362471.0,0.0,2022.0,3.0,63.0,274.0,73.0,7.0,10.0,22.0,27.0,45.0
51,0,2148.0,1644362327.0,0.0,2038.0,0.0,63.0,123.0,4.0,7.0,10.0,22.0,26.0,50.0
53,1,1436.0,1644363030.0,1982.0,388.0,63.0,51.0,203.0,132.0,7.0,10.0,22.0,34.0,18.0
55,0,2395.0,1644362078.0,384.0,1796.0,48.0,63.0,122.0,23.0,7.0,10.0,22.0,42.0,36.0
